abbreviation,structure,first_plate,last_plate,n_plates,bregma_anterior_mm,bregma_posterior_mm,systems,plates
csc,commissure of the superior colliculus,34,36,3,-3.75,-4.45,fiber_tract;midbrain;visual,34 35 36
cst,commissural stria terminalis,26,27,2,-0.95,-1.3,basal_forebrain;fiber_tract,26 27
cu,cuneate fasciculus,53,62,10,-10.4,-13.55,fiber_tract;somatosensory,53 54 55 56 57 58 59 60 61 62
Cu,cuneate nucleus,52,62,11,-10.05,-13.55,somatosensory,52 53 54 55 56 57 58 59 60 61 62
CuR,"cuneate nucleus, rotundus part",55,56,2,-11.1,-11.45,somatosensory,55 56
CVL,caudoventrolateral reticular nucleus,52,53,2,-10.05,-10.4,brainstem,52 53
CxA,cortex-amygdala transition zone,24,26,3,-0.25,-0.95,amygdala;cortex,24 25 26
DA,dorsal hypothalamic area,29,30,2,-2.0,-2.35,hypothalamus;thalamus,29 30
das,dorsal acoustic stria,49,50,2,-9.0,-9.35,auditory,49 50
DCDp,"dorsal cochlear nucleus, deep core",49,50,2,-9.0,-9.35,auditory,49 50
DCFu,"dorsal cochlear nucleus, fusiform layer",48,50,3,-8.65,-9.35,auditory,48 49 50
DCIC,dorsal cortex of the inferior colliculus,40,43,4,-5.85,-6.9,auditory;cortex;midbrain,40 41 42 43
DCl,dorsal part of claustrum,16,26,11,2.55,-0.95,claustrum,16 17 18 19 20 21 22 23 24 25 26
DCMo,"dorsal cochlear nucleus, molecular layer",48,50,3,-8.65,-9.35,auditory,48 49 50
dcs,dorsal corticospinal tract,60,62,3,-12.85,-13.55,fiber_tract;motor,60 61 62
dcw,deep cerebral white matter,29,39,11,-2.0,-5.5,fiber_tract,29 30 31 32 33 34 35 36 37 38 39
DEn,dorsal endopiriform nucleus,12,32,21,3.95,-3.05,olfactory,12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32
df,dorsal fornix,26,27,2,-0.95,-1.3,fiber_tract;hippocampal,26 27
DG,dentate gyrus,30,30,1,-2.35,-2.35,hippocampal,30
dhc,dorsal hippocampal commissure,28,38,11,-1.65,-5.15,fiber_tract;hippocampal,28 29 30 31 32 33 34 35 36 37 38
DI,dysgranular insular cortex,13,27,15,3.6,-1.3,cortex,13 14 15 16 17 18 19 20 21 22 23 24 25 26 27
Dk,nucleus of Darkschewitsch,33,35,3,-3.4,-4.1,midbrain,33 34 35
DLG,dorsal lateral geniculate nucleus,29,33,5,-2.0,-3.4,thalamus;visual,29 30 31 32 33
dlo,dorsal lateral olfactory tract,5,12,8,6.4,3.95,fiber_tract;olfactory,5 6 7 8 9 10 11 12
DLO,dorsolateral orbital cortex,9,12,4,5.0,3.95,cortex,9 10 11 12
DLPAG,dorsolateral periaqueductal gray,36,42,7,-4.45,-6.55,midbrain;ventricular,36 37 38 39 40 41 42
DLPO,dorsolateral periolivary nucleus,44,47,4,-7.25,-8.3,auditory,44 45 46 47
DM,dorsomedial hypothalamic nucleus,29,32,4,-2.0,-3.05,hypothalamus;thalamus,29 30 31 32
DMC,"dorsomedial hypothalamic nucleus, compact part",31,31,1,-2.7,-2.7,hypothalamus;thalamus,31
DMD,"dorsomedial hypothalamic nucleus, dorsal part",31,31,1,-2.7,-2.7,hypothalamus;thalamus,31
DMIC,dorsomedial nucleus of the inferior colliculus,41,43,3,-6.2,-6.9,auditory;midbrain,41 42 43
DMPAG,dorsomedial periaqueductal gray,35,42,8,-4.1,-6.55,midbrain;ventricular,35 36 37 38 39 40 41 42
DMSp5,dorsomedial spinal trigeminal nucleus,48,54,7,-8.65,-10.75,somatosensory,48 49 50 51 52 53 54
DMTg,dorsomedial tegmental area,43,45,3,-6.9,-7.6,midbrain,43 44 45
DMV,"dorsomedial hypothalamic nucleus, ventral part",31,31,1,-2.7,-2.7,hypothalamus;thalamus,31
DNLL,dorsal nucleus of the lateral lemniscus,41,42,2,-6.2,-6.55,auditory;fiber_tract,41 42
DP,dorsal peduncular cortex,12,18,7,3.95,1.85,cortex,12 13 14 15 16 17 18
DpG,deep gray layer of the superior colliculus,33,41,9,-3.4,-6.2,midbrain;visual,33 34 35 36 37 38 39 40 41
DPGi,dorsal paragigantocellular nucleus,48,51,4,-8.65,-9.7,brainstem,48 49 50 51
DPO,dorsal periolivary nucleus,45,47,3,-7.6,-8.3,auditory,45 46 47
DpWh,deep white layer of the superior colliculus,34,41,8,-3.75,-6.2,midbrain;visual,34 35 36 37 38 39 40 41
DR,dorsal raphe nucleus,37,38,2,-4.8,-5.15,brainstem;monoaminergic,37 38
DRC,"dorsal raphe nucleus, caudal part",43,44,2,-6.9,-7.25,brainstem;monoaminergic,43 44
DRD,"dorsal raphe nucleus, dorsal part",39,42,4,-5.5,-6.55,brainstem;monoaminergic,39 40 41 42
DRL,"dorsal raphe nucleus, lateral part",39,41,3,-5.5,-6.2,brainstem;monoaminergic,39 40 41
DRV,"dorsal raphe nucleus, ventral part",39,42,4,-5.5,-6.55,brainstem;monoaminergic,39 40 41 42
DS,dorsal subiculum,33,36,4,-3.4,-4.45,hippocampal,33 34 35 36
