abbr,name,plate,label_index,ap_bregma_mm,ml_mm,ml_abs_mm,dv_mm,position_from,box_cx_frac,box_cy_frac,box_w_frac,box_h_frac,leader_tip_x_frac,leader_tip_y_frac
7Cb,7th cerebellar lobule,54,0,-10.75,0.04,0.04,-2.16,label box,0.4747,0.3105,0.0142,0.0119,,
8Cb,8th cerebellar lobule,54,0,-10.75,0.05,0.05,-3.2,label box,0.4751,0.3952,0.0142,0.0119,,
9aCb,"9th cerebellar lobule, a",54,0,-10.75,0.04,0.04,-3.6,label box,0.475,0.4268,0.0258,0.0119,,
9bCb,"9th cerebellar lobule, b",54,0,-10.75,0.04,0.04,-3.6,label box,0.475,0.4268,0.0258,0.0119,,
9cCb,"9th cerebellar lobule, c",54,0,-10.75,0.06,0.06,-4.21,label box,0.476,0.4764,0.0189,0.0119,,
AmbSC,"ambiguus nucleus, subcompact part",54,0,-10.75,-1.35,1.35,-7.18,label box,0.4028,0.7168,0.0273,0.0119,,
AmbSC,"ambiguus nucleus, subcompact part",54,1,-10.75,1.6,1.6,-7.11,label box,0.5558,0.7111,0.0273,0.0119,,
Cop,copula of the pyramis,54,0,-10.75,-1.7,1.7,-4.28,label box,0.3848,0.4824,0.0138,0.0148,,
Cop,copula of the pyramis,54,1,-10.75,1.84,1.84,-4.23,label box,0.5681,0.4778,0.0142,0.0148,,
Crus1,crus 1 of the ansiform lobule,54,0,-10.75,3.02,3.02,-1.74,label box,0.6294,0.277,0.0203,0.0119,,
Crus1,crus 1 of the ansiform lobule,54,1,-10.75,-2.62,2.62,-1.83,label box,0.3372,0.2842,0.0203,0.0119,,
Crus2,crus 2 of the ansiform lobule,54,0,-10.75,2.46,2.46,-2.2,label box,0.6001,0.3139,0.0214,0.0119,,
Crus2,crus 2 of the ansiform lobule,54,1,-10.75,-1.76,1.76,-2.22,label box,0.3817,0.3156,0.0214,0.0119,,
Cu,cuneate nucleus,54,0,-10.75,1.32,1.32,-5.36,label box,0.5411,0.5696,0.0087,0.0119,,
Cu,cuneate nucleus,54,1,-10.75,-1.34,1.34,-5.47,label box,0.4034,0.5785,0.0091,0.0119,,
DMSp5,dorsomedial spinal trigeminal nucleus,54,0,-10.75,1.83,1.83,-5.88,label box,0.5674,0.6114,0.0265,0.0148,,
ECu,external cuneate nucleus,54,0,-10.75,1.61,1.61,-5.18,label box,0.5561,0.5546,0.0138,0.0119,,
ECu,external cuneate nucleus,54,1,-10.75,-1.56,1.56,-5.34,label box,0.392,0.5677,0.0138,0.0119,,
Gi,gigantocellular reticular nucleus,54,0,-10.75,-0.62,0.62,-7.39,label box,0.4405,0.7333,0.0069,0.0125,,
Gi,gigantocellular reticular nucleus,54,1,-10.75,0.7,0.7,-7.4,label box,0.5091,0.7342,0.0069,0.0119,,
IOD,"inferior olive, dorsal nucleus",54,0,-10.75,-0.87,0.87,-8.11,label box,0.4277,0.7918,0.0124,0.0119,,
IOD,"inferior olive, dorsal nucleus",54,1,-10.75,1.06,1.06,-8.06,label box,0.5276,0.7878,0.0124,0.0119,,
IOM,"inferior olive, medial nucleus",54,0,-10.75,0.28,0.28,-8.2,label box,0.4873,0.7991,0.0138,0.0119,,
IOM,"inferior olive, medial nucleus",54,1,-10.75,-0.16,0.16,-8.19,label box,0.4646,0.7984,0.0138,0.0119,,
IOPr,"inferior olive, principal nucleus",54,0,-10.75,0.98,0.98,-8.33,label box,0.5234,0.8091,0.0152,0.0119,,
IOPr,"inferior olive, principal nucleus",54,1,-10.75,-0.83,0.83,-8.41,label box,0.4296,0.8157,0.0156,0.0125,,
IRt,intermediate reticular nucleus,54,0,-10.75,1.27,1.27,-6.66,label box,0.5385,0.6744,0.0094,0.0114,,
IRt,intermediate reticular nucleus,54,1,-10.75,-0.85,0.85,-6.58,label box,0.4285,0.6682,0.0098,0.0119,,
LRt,lateral reticular nucleus,54,0,-10.75,-1.01,1.01,-7.55,label box,0.4206,0.746,0.012,0.0114,,
LRt,lateral reticular nucleus,54,1,-10.75,1.13,1.13,-7.6,label box,0.5314,0.7506,0.012,0.0114,,
LRt,lateral reticular nucleus,54,2,-10.75,2.03,2.03,-7.27,label box,0.5779,0.7239,0.0123,0.0119,,
LRt,lateral reticular nucleus,54,3,-10.75,-1.85,1.85,-7.39,label box,0.3771,0.733,0.0123,0.0119,,
Mx,matrix region of the medulla,54,0,-10.75,1.38,1.38,-5.74,label box,0.5441,0.5998,0.0109,0.0114,,
PCRt,parvicellular reticular nucleus,54,0,-10.75,-1.28,1.28,-6.42,label box,0.4064,0.6551,0.0171,0.0114,,
PCRt,parvicellular reticular nucleus,54,1,-10.75,1.69,1.69,-6.46,label box,0.5601,0.6585,0.0171,0.0114,,
PM,paramedian lobule,54,0,-10.75,-1.99,1.99,-3.33,label box,0.3694,0.4057,0.0113,0.0114,,
PM,paramedian lobule,54,1,-10.75,2.25,2.25,-3.31,label box,0.5892,0.4037,0.0113,0.0119,,
PSol,parasolitary nucleus,54,0,-10.75,0.69,0.69,-5.51,label box,0.5087,0.5813,0.0156,0.0119,,
Pa5,paratrigeminal nucleus,54,0,-10.75,2.17,2.17,-5.61,label box,0.585,0.5898,0.0127,0.0119,,
Pa5,paratrigeminal nucleus,54,1,-10.75,-2.06,2.06,-5.8,label box,0.3662,0.6052,0.0131,0.0119,,
ROb,raphe obscurus nucleus,54,0,-10.75,0.07,0.07,-7.16,label box,0.4764,0.7148,0.0138,0.0114,,
RPa,raphe pallidus nucleus,54,0,-10.75,0.04,0.04,-8.18,leader tip,0.4746,0.8239,0.0142,0.0119,0.4748,0.7975
Ro,nucleus of Roller,54,0,-10.75,-0.24,0.24,-6.51,label box,0.4602,0.6619,0.0091,0.0114,,
Ro,nucleus of Roller,54,1,-10.75,0.35,0.35,-6.56,label box,0.4911,0.6665,0.0091,0.0114,,
Sp5I,"spinal trigeminal nucleus, interpolar part",54,0,-10.75,2.33,2.33,-6.25,label box,0.5936,0.6409,0.0156,0.0148,,
Sp5I,"spinal trigeminal nucleus, interpolar part",54,1,-10.75,-2.14,2.14,-6.4,label box,0.3617,0.6531,0.0156,0.0142,,
apmf,ansoparamedian fissure,54,0,-10.75,1.91,1.91,-2.51,leader tip,0.6213,0.3444,0.0185,0.0187,0.5719,0.3387
apmf,ansoparamedian fissure,54,1,-10.75,-2.87,2.87,-2.7,label box,0.3239,0.3543,0.0185,0.0148,,
cbw,cerebellar white matter,54,0,-10.75,-1.6,1.6,-3.08,label box,0.3897,0.3849,0.0149,0.0119,,
cbw,cerebellar white matter,54,1,-10.75,1.83,1.83,-3.02,label box,0.5674,0.3804,0.0149,0.0119,,
cbw,cerebellar white matter,54,2,-10.75,-0.86,0.86,-3.97,label box,0.4282,0.4574,0.0149,0.0114,,
cbw,cerebellar white matter,54,3,-10.75,-0.3,0.3,-2.34,label box,0.4572,0.3251,0.0149,0.0119,,
cbw,cerebellar white matter,54,4,-10.75,-2.32,2.32,-2.38,label box,0.3524,0.3285,0.0152,0.0119,,
cbw,cerebellar white matter,54,5,-10.75,-0.64,0.64,-3.22,label box,0.4396,0.3967,0.0152,0.0119,,
chp,choroid plexus,54,0,-10.75,0.08,0.08,-5.53,label box,0.4767,0.5832,0.0131,0.0142,,
cu,cuneate fasciculus,54,0,-10.75,2.3,2.3,-5.51,leader tip,0.573,0.5747,0.008,0.0085,0.5917,0.5812
cu,cuneate fasciculus,54,1,-10.75,-1.9,1.9,-5.52,label box,0.3741,0.5821,0.0113,0.0233,,
dsc,dorsal spinocerebellar tract,54,0,-10.75,2.81,2.81,-6.97,label box,0.6184,0.6992,0.0127,0.0114,,
dsc,dorsal spinocerebellar tract,54,1,-10.75,-2.68,2.68,-7.19,label box,0.3341,0.7171,0.0127,0.0119,,
icf,intercrural fissure,54,0,-10.75,-3.13,3.13,-2.03,label box,0.3103,0.3004,0.0087,0.0159,,
ml,medial lemniscus,54,0,-10.75,-0.43,0.43,-8.34,label box,0.4506,0.81,0.0084,0.0114,,
mlf,medial longitudinal fasciculus,54,0,-10.75,-0.07,0.07,-6.88,label box,0.4691,0.692,0.0109,0.0114,,
mlf,medial longitudinal fasciculus,54,1,-10.75,0.23,0.23,-6.87,label box,0.4847,0.6912,0.0109,0.0119,,
oc,olivocerebellar tract,54,0,-10.75,3.08,3.08,-6.99,label box,0.6324,0.7009,0.008,0.0091,,
plf,posterolateral fissure,54,0,-10.75,-0.56,0.56,-4.28,label box,0.4439,0.4818,0.0084,0.017,,
pms,paramedian sulcus,54,0,-10.75,-0.86,0.86,-1.71,label box,0.4281,0.2744,0.0153,0.0114,,
