abbr,name,systems,first_plate,last_plate,n_plates,plates,n_labels,n_plates_labeled,label_ap_bregma_median_mm,label_ml_abs_median_mm,label_dv_median_mm,n_plates_with_extent,area_mm2_sum,area_mm2_max,traced_fraction_min,volume_mm3,mesh_grade,n_components,center_ml_mm,center_dv_mm,center_ap_mm
S1FL,"primary somatosensory cortex, forelimb region",cortex;somatosensory,15,24,10,15 16 17 18 19 20 21 22 23 24,20,10,1.32,3.44,-2.62,10,33.182,5.336,0.89,11.9135,surface,2,3.36,-2.87,1.51
S1HL,"primary somatosensory cortex, hindlimb region",cortex;somatosensory,20,26,7,20 21 22 23 24 25 26,14,7,0.1,2.54,-1.99,7,20.311,4.038,1,7.1259,surface,2,2.51,-2.05,0.14
S1J,"primary somatosensory cortex, jaw region",cortex;somatosensory,13,20,8,13 14 15 16 17 18 19 20,14,8,2.38,3.34,-4.08,8,24.737,4.944,0.9,8.6479,surface,4,-3.07,-4.34,2.88
S1Sh,"primary somatosensory cortex, shoulder region",cortex;somatosensory,25,26,2,25 26,4,2,-0.77,2.72,-1.86,2,5.228,2.741,1,1.7056,slab,2,2.68,-1.81,-0.77
S1Tr,"primary somatosensory cortex, trunk region",cortex;somatosensory,27,28,2,27 28,4,2,-1.48,2.43,-1.62,2,7.231,4.392,0.99,2.2626,slab,2,2.42,-1.62,-1.45
S1ULp,"primary somatosensory cortex, upper lip region",cortex;somatosensory,18,28,11,18 19 20 21 22 23 24 25 26 27 28,22,11,0.1,5.27,-3.86,11,42.077,5.587,0.95,15.3323,surface,2,-4.89,-3.78,0.16
S2,secondary somatosensory cortex,cortex;somatosensory,18,28,11,18 19 20 21 22 23 24 25 26 27 28,22,11,0.1,5.23,-4.88,11,35.055,4.106,0.95,12.4599,surface,2,5.12,-4.82,0.06
s5,sensory root of the trigeminal nerve,fiber_tract;somatosensory,42,47,6,42 43 44 45 46 47,13,6,-7.25,2.85,-6.55,6,5.683,1.323,0.88,2.0861,surface,2,2.71,-6.64,-7.29
Sag,sagulum nucleus,auditory,41,43,3,41 42 43,5,3,-6.55,2.59,-4.46,3,0.948,0.372,0.7,0.3739,surface,2,2.36,-4.42,-6.65
Sc,scaphoid thalamic nucleus,thalamus,32,32,1,32,2,1,-3.05,1.84,-4.46,1,0.21,0.21,1,0.0753,slab,2,1.79,-4.47,-3.01
Sca,"spherical cell area, ventral cochlear nucleus",auditory,43,46,4,43 44 45 46,8,4,-7.42,3.16,-5.92,4,1.009,0.525,0.7,0.36,surface,4,2.88,-5.73,-7.85
scc,splenium of the corpus callosum,fiber_tract,31,33,3,31 32 33,3,3,-3.05,0.01,-2.23,3,2.237,0.987,0.99,0.7615,surface,1,-0.05,-1.93,-3.1
SCh,suprachiasmatic nucleus,hypothalamus,25,25,1,25,2,1,-0.6,0.44,-8.05,1,0.3,0.3,1,0.0944,slab,1,-0.02,-8.06,-0.6
SChDL,"suprachiasmatic nucleus, dorsolateral part",hypothalamus,26,26,1,26,1,1,-0.95,0.01,-7.98,1,0.127,0.127,1,0.0614,slab,1,-0.03,-7.48,-0.94
SChVM,"suprachiasmatic nucleus, ventromedial part",hypothalamus,26,26,1,26,1,1,-0.95,0.02,-8.19,0,,,,,,,,,
SCO,subcommissural organ,ventricular,32,34,3,32 33 34,2,2,-3.22,0.05,-4.08,2,0.097,0.052,0.92,0.0314,slab,2,-0.04,-4.34,-3.46
scp,superior cerebellar peduncle,cerebellum;fiber_tract,41,49,9,41 42 43 44 45 46 47 48 49,17,9,-7.6,1.6,-5.06,9,3.185,0.589,0.7,1.2645,surface,3,1.48,-4.95,-7.58
sf,secondary fissure,cerebellum,53,58,6,53 54 55 56 57 58,7,6,-11.1,0.63,-2.89,0,,,,,,,,,
SFi,septofimbrial nucleus,fiber_tract;hippocampal,22,25,4,22 23 24 25,6,4,-0.07,0.44,-4.59,4,2.197,1.345,0.9,0.5736,surface,2,0.48,-4.62,-0.03
SFO,subfornical organ,ventricular,25,25,1,25,1,1,-0.6,0.01,-4.38,1,0.079,0.079,1,0.0545,slab,1,-0.03,-4.34,-0.68
SG,suprageniculate thalamic nucleus,auditory;thalamus,33,36,4,33 34 35 36,8,4,-3.92,2.49,-4.42,4,1.405,0.699,0.83,0.5508,surface,2,2.54,-4.33,-4.15
SGe,supragenual nucleus,brainstem,46,46,1,46,2,1,-7.95,0.35,-5.99,1,0.116,0.116,0.92,0.0424,slab,2,-0.37,-5.97,-7.96
SHi,septohippocampal nucleus,hippocampal,18,25,8,18 19 20 21 22 23 24 25,7,7,0.8,0.03,-4.3,7,1.098,0.236,0.97,0.3641,surface,4,0,-4.37,0.59
SIB,"substantia innominata, basal part",basal_forebrain,21,24,4,21 22 23 24,8,4,0.28,1.29,-7.24,4,2.83,1.175,0.47,0.9003,surface,3,-1.61,-7.31,0.23
Sim,simple lobule,cerebellum,43,49,7,43 44 45 46 47 48 49,14,7,-7.95,1.82,-1.25,7,21.679,5.547,0.3,7.7411,surface,3,2.11,-2.01,-7.61
simf,simplex fissure,cerebellum,47,49,3,47 48 49,5,3,-8.65,1.65,-1.62,0,,,,,,,,,
SLu,stratum lucidum of the hippocampus,hippocampal,28,33,6,28 29 30 31 32 33,14,6,-2.7,4.2,-3.48,5,1.132,0.413,0.8,0.3914,surface,11,-4.59,-5.39,-3.38
sm,stria medullaris of the thalamus,brainstem;fiber_tract;thalamus,25,30,6,25 26 27 28 29 30,12,6,-1.48,0.72,-3.89,6,1.734,0.401,0.99,0.6806,surface,4,-0.72,-3.96,-1.5
SMV,superior medullary velum,brainstem,45,47,3,45 46 47,3,3,-7.95,0.61,-5.34,3,0.57,0.275,0.73,0.2191,surface,1,-0.65,-5.29,-7.94
SNC,"substantia nigra, compact part",midbrain;monoaminergic;motor,33,38,6,33 34 35 36 37 38,12,6,-4.28,2.18,-6.11,6,4.051,1.179,0.98,1.3944,surface,2,-1.93,-6.21,-4.44
SNR,"substantia nigra, reticular part",midbrain;motor,33,38,6,33 34 35 36 37 38,12,6,-4.28,1.94,-6.67,6,8.591,2.178,0.92,3.3579,surface,2,2.03,-6.54,-4.22
SO,supraoptic nucleus,hypothalamus;visual,23,27,5,23 24 25 26 27,8,5,-0.6,1.22,-7.97,3,0.265,0.199,0.99,0.065,surface,4,1.73,-7.79,-0.89
Sol,nucleus of the solitary tract,brainstem;fiber_tract,49,50,2,49 50,3,2,-9,1.45,-6.07,2,0.211,0.139,0.95,0.0858,slab,2,-1.47,-6.09,-9.21
sol,solitary tract,brainstem;fiber_tract,50,57,8,50 51 52 53 54 55 56 57,16,6,-10.4,0.9,-5.89,6,3.276,0.655,0.56,1.2303,surface,2,-0.54,-5.84,-10.84
SolC,"nucleus of the solitary tract, commissural part",brainstem;fiber_tract,55,62,8,55 56 57 58 59 60 61 62,4,4,-13.02,0.05,-6.6,4,0.921,0.507,0.58,0.287,surface,2,0,-6.79,-13.32
SolDL,"solitary nucleus, dorsolateral part",brainstem,55,57,3,55 56 57,0,0,,,,0,,,,,,,,,
SolM,"nucleus of the solitary tract, medial part",brainstem;fiber_tract,55,59,5,55 56 57 58 59,0,0,,,,0,,,,,,,,,
SolV,"solitary nucleus, ventral part",brainstem,55,57,3,55 56 57,0,0,,,,0,,,,,,,,,
SolVL,"nucleus of the solitary tract, ventrolateral part",brainstem;fiber_tract,55,57,3,55 56 57,0,0,,,,0,,,,,,,,,
sox,supraoptic decussation,fiber_tract;hypothalamus;visual,26,32,7,26 27 28 29 30 31 32,11,7,-2.35,2.71,-6.32,7,1.749,0.49,0.89,0.4255,surface,4,0.31,-8.05,-1.27
sp5,spinal trigeminal tract,fiber_tract;somatosensory,48,62,15,48 49 50 51 52 53 54 55 56 57 58 59 60 61 62,31,15,-11.1,2.44,-6.42,15,8.928,0.981,0.94,3.4198,surface,2,2.32,-6.37,-10.67
Sp5C,"spinal trigeminal nucleus, caudal part",somatosensory,55,62,8,55 56 57 58 59 60 61 62,15,8,-12.15,1.53,-6.2,8,6.713,1.279,0.63,2.388,surface,2,1.49,-6.28,-12.31
Sp5I,"spinal trigeminal nucleus, interpolar part",somatosensory,49,56,8,49 50 51 52 53 54 55 56,16,8,-10.23,2.23,-6.6,8,8.819,1.982,0.77,3.1478,surface,2,-2.13,-6.59,-10.53
Sp5O,"spinal trigeminal nucleus, oral part",somatosensory,48,51,4,48 49 50 51,8,4,-9.18,2.09,-6.54,4,2.146,0.711,0.85,0.7294,surface,2,-2.04,-6.49,-9.19
SPa,subparaventricular zone of the hypothalamus,hypothalamus;thalamus,27,28,2,27 28,2,2,-1.48,0.39,-7.15,2,0.468,0.412,0.22,0.181,slab,1,-0.63,-7.07,-1.56
SPF,subparafascicular thalamic nucleus,thalamus,31,31,1,31,2,1,-2.7,0.41,-6.02,1,0.456,0.456,1,0.1599,slab,2,-0.42,-5.98,-2.72
SPFPC,"subparafascicular thalamic nucleus, parvicellular part",thalamus,31,32,2,31 32,4,2,-2.88,0.94,-5.57,2,0.901,0.475,0.99,0.3413,slab,2,1.13,-5.49,-2.88
SPN,superior periolivary nucleus,auditory,44,47,4,44 45 46 47,8,4,-7.78,1.07,-7.97,4,0.899,0.331,0.97,0.4526,surface,2,1.04,-7.89,-7.73
SPTg,subpeduncular tegmental nucleus,midbrain,40,42,3,40 41 42,6,3,-6.2,0.77,-5.83,3,1.056,0.465,0.88,0.3883,surface,2,0.83,-5.77,-6.27
SpVe,spinal vestibular nucleus,vestibular,48,53,6,48 49 50 51 52 53,11,6,-9.35,1.58,-5.51,6,3.835,1.091,0.79,1.4019,surface,2,1.59,-5.58,-9.57
ST,bed nucleus of the stria terminalis,basal_forebrain;fiber_tract,22,22,1,22,2,1,0.45,0.9,-6.33,1,0.638,0.638,1,0.2289,slab,2,0.92,-6.26,0.47
st,stria terminalis,basal_forebrain;fiber_tract,23,31,9,23 24 25 26 27 28 29 30 31,24,8,-1.65,3.57,-4.98,8,4.529,1.198,0.97,1.3719,surface,6,-2.95,-5.47,-1.48
StA,strial part of the preoptic area,hypothalamus;visual,23,23,1,23,3,1,0.1,0.61,-6.24,1,0.466,0.466,0.97,0.1874,slab,2,0.89,-5.65,0.06
STh,subthalamic nucleus,motor;thalamus,30,32,3,30 31 32,6,3,-2.7,1.85,-6.57,3,1.916,0.753,1,0.6623,surface,2,2.03,-6.4,-2.75
STIA,"bed nucleus of the stria terminalis, intraamygdaloid division",amygdala;basal_forebrain;fiber_tract,28,29,2,28 29,4,2,-1.82,3.7,-6.96,2,0.604,0.306,0.99,0.2966,slab,2,-3.82,-6.89,-1.94
STLI,"bed nucleus of the stria terminalis, lateral division, intermediate part",basal_forebrain;fiber_tract,24,24,1,24,2,1,-0.25,1.14,-6.05,1,0.241,0.241,0.98,0.1119,slab,2,1.07,-5.96,-0.23
STLP,"bed nucleus of the stria terminalis, lateral division, posterior part",basal_forebrain;fiber_tract,23,24,2,23 24,2,1,-0.25,1.43,-5.8,1,0.26,0.26,0.86,0.1196,slab,2,1.41,-5.61,-0.23
STLV,"bed nucleus of the stria terminalis, lateral division, ventral part",basal_forebrain;fiber_tract,23,24,2,23 24,4,2,-0.07,1.25,-6.43,2,0.799,0.62,0.9,0.354,slab,2,-1.25,-6.39,-0.15
STMA,"bed nucleus of the stria terminalis, medial division, anterior part",basal_forebrain;fiber_tract,23,24,2,23 24,4,2,-0.07,0.84,-5.78,2,0.995,0.834,0.92,0.2896,slab,2,-0.96,-5.68,-0.13
STMP,"bed nucleus of the stria terminalis, medial division, posterior part",basal_forebrain;fiber_tract,25,26,2,25 26,4,2,-0.77,0.86,-6.09,2,1.929,1.04,0.85,0.639,slab,1,0.01,-5.88,-0.76
STMV,"bed nucleus of the stria terminalis, medial division, ventral part",basal_forebrain;fiber_tract,23,24,2,23 24,4,2,-0.07,0.66,-6.38,2,0.299,0.19,0.9,0.1043,slab,2,0.68,-6.36,-0.12
STr,"subiculum, transition area",hippocampal,37,38,2,37 38,4,2,-4.97,5.09,-4.36,2,7.503,4.662,0.92,2.6111,slab,2,-4.74,-4.31,-4.96
str,superior thalamic radiation,fiber_tract;thalamus,31,32,2,31 32,4,2,-2.88,3.13,-4.35,2,0.683,0.447,0.98,0.2585,slab,2,3.11,-4.41,-2.87
Su3,supraoculomotor periaqueductal gray,midbrain;motor;ventricular,36,39,4,36 37 38 39,7,4,-4.8,0.33,-4.65,4,0.795,0.293,0.99,0.2876,surface,1,-0.04,-4.66,-4.9
Su3C,supraoculomotor cap,midbrain;motor,36,37,2,36 37,4,2,-4.62,0.43,-4.49,2,0.284,0.159,0.98,0.1111,slab,2,0.5,-4.47,-4.54
Su5,supratrigeminal nucleus,somatosensory,43,45,3,43 44 45,6,3,-7.25,1.65,-5.72,3,0.841,0.309,0.99,0.3335,surface,2,-1.71,-5.73,-7.19
Sub,submedius thalamic nucleus,thalamus,30,30,1,30,2,1,-2.35,0.43,-5.67,1,0.286,0.286,1,0.1105,slab,2,-0.53,-5.69,-2.34
SubB,subbrachial nucleus,midbrain,36,38,3,36 37 38,6,3,-4.8,2.56,-5.1,3,1.087,0.603,0.4,0.4486,surface,2,2.62,-5.25,-4.73
SubCA,"subcoeruleus nucleus, alpha part",monoaminergic,44,44,1,44,2,1,-7.25,1.07,-5.75,1,0.079,0.079,0.98,0.0298,slab,2,-1.12,-5.72,-7.27
SubCD,"subcoeruleus nucleus, dorsal part",monoaminergic,43,45,3,43 44 45,6,3,-7.25,1.17,-5.95,3,1.664,0.724,0.85,0.6295,surface,2,-1.27,-5.99,-7.28
SubCV,"subcoeruleus nucleus, ventral part",monoaminergic,43,45,3,43 44 45,6,3,-7.25,1.61,-6.87,3,1.669,0.703,0.74,0.7241,surface,2,-1.73,-6.75,-7.17
SubD,"submedius thalamic nucleus, dorsal part",thalamus,28,29,2,28 29,4,2,-1.82,0.58,-5.43,2,0.466,0.259,0.58,0.1564,slab,2,0.58,-5.38,-1.84
SubG,subgeniculate nucleus,thalamus;visual,31,32,2,31 32,3,2,-2.7,3.34,-5.46,2,0.36,0.275,0.97,0.1161,slab,3,-3.31,-5.48,-2.84
SubI,subincertal nucleus,thalamus,29,30,2,29 30,3,2,-2,1.47,-6.55,2,0.352,0.237,0.68,0.1446,slab,2,-1.63,-6.5,-2.16
SubV,"submedius thalamic nucleus, ventral part",thalamus,28,29,2,28 29,4,2,-1.82,0.52,-5.76,2,1.092,0.644,0.72,0.3581,slab,2,-0.53,-5.74,-1.84
SuG,superficial gray layer of the superior colliculus,midbrain;visual,33,41,9,33 34 35 36 37 38 39 40 41,18,9,-4.8,0.92,-1.92,9,11.127,1.725,1,4.3611,surface,2,1.21,-2.27,-4.73
SuML,"supramammillary nucleus, lateral part",hypothalamus,33,34,2,33 34,4,2,-3.58,0.8,-7,2,0.571,0.406,0.97,0.22,slab,2,-0.78,-7.04,-3.62
SuMM,"supramammillary nucleus, medial part",hypothalamus,33,34,2,33 34,2,2,-3.58,0.02,-7.01,2,0.416,0.225,1,0.1821,slab,1,0.02,-6.99,-3.57
sumx,supramammillary decussation,fiber_tract;hypothalamus,34,34,1,34,1,1,-3.75,0.03,-6.53,1,0.646,0.646,0.66,0.21,slab,1,0.36,-6.44,-3.76
SuVe,superior vestibular nucleus,vestibular,46,47,2,46 47,4,2,-8.12,1.8,-5.23,2,1.939,1.08,1,0.6143,slab,2,1.82,-5.23,-8.12
Te,terete hypothalamic nucleus,hypothalamus;thalamus,31,31,1,31,2,1,-2.7,1.53,-7.52,1,0.073,0.073,1,0.0468,slab,2,-1.48,-7.61,-2.7
TeA,temporal association cortex,auditory;cortex,37,39,3,37 38 39,6,3,-5.15,6.23,-3.59,3,9.087,3.79,1,3.0024,surface,2,-6.1,-3.5,-5.11
tfp,transverse fibers of the pons,fiber_tract,39,39,1,39,1,1,-5.5,0.02,-7.2,1,0.963,0.963,0.95,0.2851,slab,1,0.02,-7.18,-5.5
TG,tectal gray,midbrain,33,35,3,33 34 35,6,3,-3.75,1.38,-4.15,3,4.637,3.214,0.83,1.4745,surface,2,-1.21,-4.95,-3.65
ts,tectospinal tract,fiber_tract;motor,39,62,24,39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62,49,24,-9,0.32,-7.01,23,11.199,3.073,0.21,3.6216,surface,9,-0.38,-7.26,-7.75
TS,triangular septal nucleus,basal_forebrain,24,25,2,24 25,2,2,-0.42,0.04,-4.23,2,2.05,1.494,1,0.5923,slab,1,-0.09,-4.36,-0.36
tth,trigeminothalamic tract,fiber_tract;somatosensory;thalamus,43,45,3,43 44 45,6,3,-7.25,0.33,-8.04,3,0.286,0.114,0.34,0.1153,surface,4,-0.38,-7.99,-7.28
Tu,olfactory tubercle,basal_forebrain;olfactory,16,23,8,16 17 18 19 20 21 22 23,15,8,1.15,1.57,-7.76,8,2.49,0.591,0.94,1.0783,surface,4,-1.97,-7.92,0.84
TuLH,tuberal region of lateral hypothalamus,hypothalamus;thalamus,27,31,5,27 28 29 30 31,8,5,-2,0.88,-7.78,5,2.224,1.165,0.41,0.7144,surface,3,0.76,-7.75,-1.69
tz,trapezoid body,auditory;fiber_tract,43,49,7,43 44 45 46 47 48 49,19,7,-7.95,2.52,-7.39,7,5.518,1.248,0.82,1.7248,surface,5,-2.08,-7.67,-7.97
tzx,decussation of the trapezoid body,auditory;fiber_tract,44,47,4,44 45 46 47,3,3,-7.95,0.02,-8.57,3,0.39,0.298,0.49,0.0826,surface,2,-0.01,-8.52,-7.94
uf,uvular fissure,cerebellum,56,59,4,56 57 58 59,4,4,-11.98,0.09,-4.16,0,,,,,,,,,
V1,primary visual cortex,cortex;visual,31,42,12,31 32 33 34 35 36 37 38 39 40 41 42,8,4,-6.03,3.78,-1.71,4,26.163,7.835,0.92,19.3954,surface,2,-3.8,-1.74,-5.14
V1B,"primary visual cortex, binocular area",cortex;visual,32,39,8,32 33 34 35 36 37 38 39,16,8,-4.28,4.69,-1.84,8,25.028,3.629,0.92,5.4641,surface,2,4.96,-1.81,-4.24
V1M,"primary visual cortex, monocular area",cortex;visual,32,39,8,32 33 34 35 36 37 38 39,16,8,-4.28,3.36,-1.24,8,28.135,4.421,0.97,6.0551,surface,3,-3.13,-0.97,-4.41
V2L,"secondary visual cortex, lateral area",cortex;visual,31,41,11,31 32 33 34 35 36 37 38 39 40 41,22,11,-4.45,5.5,-2.5,11,21.329,2.807,0.98,7.6991,surface,2,-5.47,-2.49,-4.44
V2M,"secondary visual cortex, medial area",cortex;visual,31,40,10,31 32 33 34 35 36 37 38 39 40,20,10,-4.28,2.15,-0.83,10,15.687,2.76,1,5.5243,surface,2,-2.18,-0.93,-3.93
VA,ventral anterior thalamic nucleus,motor;thalamus,27,27,1,27,2,1,-1.3,1.63,-4.99,1,1.165,1.165,0.97,0.4024,slab,2,1.71,-4.84,-1.27
VCA,"ventral cochlear nucleus, anterior part",auditory,43,47,5,43 44 45 46 47,10,5,-7.6,3.19,-5.94,5,1.577,0.575,0.38,0.5838,surface,2,3.25,-5.93,-7.57
VCl,ventral part of claustrum,claustrum,16,26,11,16 17 18 19 20 21 22 23 24 25 26,22,11,0.8,2.97,-6.02,11,2.231,0.502,0.84,0.6425,surface,4,2.65,-5.83,1.24
VCP,"ventral cochlear nucleus, posterior part",auditory,47,49,3,47 48 49,6,3,-8.65,2.95,-5.98,2,0.415,0.224,0.63,0.1455,surface,3,2.89,-5.91,-8.7
VDB,nucleus of the vertical limb of the diagonal band,basal_forebrain,19,21,3,19 20 21,4,3,1.32,0.1,-6.9,3,1.129,0.499,0.94,0.4781,surface,1,0.02,-6.79,1.17
VeCb,vestibulocerebellar nucleus,cerebellum;vestibular,46,49,4,46 47 48 49,8,4,-8.48,1.16,-4.68,4,1.826,0.816,0.98,0.7603,surface,2,-1.11,-4.65,-8.61
veme,vestibulomesencephalic tract,fiber_tract;vestibular,46,48,3,46 47 48,6,3,-8.3,1.32,-6.16,3,1.057,0.57,0.97,0.3653,surface,2,-1.31,-6.21,-8.37
VEn,ventral endopiriform nucleus,olfactory,24,29,6,24 25 26 27 28 29,12,6,-1.12,4.68,-7.55,6,2.117,0.626,0.58,0.6789,surface,3,-4.76,-7.76,-1.31
vesp,vestibulospinal tract,fiber_tract;vestibular,49,49,1,49,2,1,-9,0.74,-6.17,1,0.192,0.192,0.97,0.0619,slab,2,-0.84,-6.16,-8.99
VG,ventral geniculate nucleus,thalamus;visual,29,34,6,29 30 31 32 33 34,7,4,-2.35,3.68,-4.22,4,0.916,0.428,0.98,0.2735,slab,4,-3.69,-5.01,-3.53
VGMC,"ventral geniculate nucleus, magnocellular part",thalamus;visual,31,32,2,31 32,4,2,-2.88,3.86,-4.64,2,1.642,0.921,1,0.5196,slab,2,-3.83,-4.87,-2.84
VGPC,"ventral geniculate nucleus, parvicellular part",thalamus;visual,31,32,2,31 32,4,2,-2.88,3.53,-4.94,2,0.668,0.384,0.96,0.2395,slab,2,3.49,-4.75,-2.91
vhc,ventral hippocampal commissure,fiber_tract;hippocampal,25,27,3,25 26 27,3,3,-0.95,0.03,-3.32,3,0.468,0.261,0.73,0.1389,surface,2,0.01,-3.27,-1.11
VL,ventrolateral thalamic nucleus,motor;thalamus,27,30,4,27 28 29 30,10,4,-1.82,1.46,-5.23,4,5.122,2.159,0.66,1.6963,surface,3,-1.78,-5.22,-1.61
VLH,ventrolateral hypothalamic nucleus,hypothalamus;thalamus,27,27,1,27,2,1,-1.3,2.03,-7.15,1,0.08,0.08,0.92,0.0545,slab,1,1.95,-6.99,-1.18
vlh,ventrolateral hypothalamic tract,fiber_tract;hypothalamus;thalamus,27,27,1,27,2,1,-1.3,0.98,-7.54,1,0.165,0.165,1,0.1079,slab,2,0.88,-7.45,-1.22
VLi,ventral linear nucleus of the thalamus,thalamus,33,33,1,33,2,1,-3.4,1.74,-5.54,1,0.168,0.168,0.99,0.0575,slab,2,1.82,-5.47,-3.42
VLPAG,ventrolateral periaqueductal gray,midbrain;ventricular,37,42,6,37 38 39 40 41 42,7,5,-5.85,0.54,-4.32,5,3.092,0.835,0.99,1.0673,surface,1,-0.02,-4.33,-5.63
VLPO,ventrolateral preoptic nucleus,hypothalamus;visual,23,24,2,23 24,3,2,-0.25,0.77,-7.95,2,0.558,0.293,0.5,0.2011,slab,3,-0.96,-8.08,0.02
VM,ventromedial thalamic nucleus,thalamus,27,30,4,27 28 29 30,8,4,-1.82,1.06,-5.73,4,2.912,1.128,0.95,1.0853,surface,2,-1.11,-5.8,-1.83
VMH,ventromedial hypothalamic nucleus,hypothalamus;thalamus,28,31,4,28 29 30 31,3,2,-2.7,0.63,-8.08,2,0.264,0.219,0.95,0.1085,slab,3,-0.6,-8.17,-2.71
VMHC,"ventromedial hypothalamic nucleus, central part",hypothalamus;thalamus,29,30,2,29 30,3,2,-2.35,0.67,-7.71,2,0.289,0.191,0.95,0.0885,slab,2,-0.59,-7.74,-2.17
VMHDM,"ventromedial hypothalamic nucleus, dorsomedial part",hypothalamus;thalamus,29,30,2,29 30,3,2,-2.35,0.38,-7.62,2,0.857,0.451,0.94,0.2721,slab,1,0.04,-7.62,-2.18
VMHSh,ventromedial nucleus of the hypothalamus shell,hypothalamus;thalamus,28,31,4,28 29 30 31,5,4,-2.35,0.81,-8.03,3,1.73,1.177,0.87,0.6805,surface,2,-0.75,-7.85,-1.82
VMHVL,"ventromedial hypothalamic nucleus, ventrolateral part",hypothalamus;thalamus,29,30,2,29 30,3,2,-2.35,0.8,-7.98,2,0.692,0.488,0.83,0.119,slab,4,-0.91,-8.03,-2.17
VMPO,ventromedial preoptic nucleus,hypothalamus;visual,23,24,2,23 24,2,1,-0.25,0.32,-7.72,1,0.521,0.521,0.41,0.1905,slab,2,0.54,-7.77,-0.26
VNLL,ventral nucleus of the lateral lemniscus,auditory;fiber_tract,40,40,1,40,2,1,-5.85,1.72,-6.19,1,0.315,0.315,0.99,0.1366,slab,2,-1.99,-5.94,-5.86
VNTB,ventral nucleus of the trapezoid body,auditory,43,47,5,43 44 45 46 47,8,5,-7.6,1.13,-8.66,5,1.106,0.374,0.92,0.3896,surface,3,-1.3,-8.5,-7.22
VO,ventral orbital cortex,cortex,9,16,8,9 10 11 12 13 14 15 16,16,8,3.78,1.08,-5.55,8,8.41,1.384,0.59,2.9251,surface,2,-1.21,-5.51,3.7
VP,ventral pallidum,basal_forebrain,16,25,10,16 17 18 19 20 21 22 23 24 25,28,10,1.32,1.48,-7.1,10,6.15,1.883,0.26,2.0306,surface,8,-1.98,-6.95,-0.36
VPL,ventral posterolateral thalamic nucleus,somatosensory;thalamus,28,31,4,28 29 30 31,8,4,-2.17,2.82,-5.13,4,3.162,0.952,0.92,1.1185,surface,2,2.78,-5.07,-2.13
VPM,ventral posteromedial thalamic nucleus,somatosensory;thalamus,28,32,5,28 29 30 31 32,10,5,-2.35,2.45,-4.92,5,9.937,2.751,0.95,3.4926,surface,2,2.42,-4.83,-2.25
VPPC,"ventral posterior nucleus of the thalamus, parvicellular part",somatosensory;thalamus,31,31,1,31,2,1,-2.7,1.37,-5.58,1,0.613,0.613,1,0.1964,slab,2,1.54,-5.43,-2.72
VRe,ventral reuniens thalamic nucleus,thalamus,27,30,4,27 28 29 30,7,4,-2,0.37,-6.08,4,0.865,0.286,0.74,0.3078,surface,3,0.34,-6.03,-1.78
VS,ventral subiculum,hippocampal,31,36,6,31 32 33 34 35 36,12,6,-3.58,4.17,-6.94,6,9.474,2.674,0.78,3.7444,surface,2,4.22,-6.59,-3.72
vsc,ventral spinocerebellar tract,cerebellum;fiber_tract,43,62,20,43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62,41,20,-10.05,1.86,-7.63,19,7.024,0.676,0.51,2.4743,surface,9,-1.75,-7.86,-10.2
VTA,ventral tegmental area,midbrain;monoaminergic,37,38,2,37 38,4,2,-4.97,0.49,-6.42,2,0.962,0.523,0.8,0.3585,slab,2,0.51,-6.4,-4.94
VTAR,"ventral tegmental area, rostral part",midbrain;monoaminergic,34,35,2,34 35,4,2,-3.92,0.62,-6.86,2,1.149,0.717,0.54,0.4091,slab,2,-0.56,-6.62,-3.87
VTg,ventral tegmental nucleus,midbrain;monoaminergic,42,42,1,42,2,1,-6.55,0.38,-5.78,1,0.432,0.432,1,0.1438,slab,1,-0.04,-5.77,-6.56
vtgx,ventral tegmental decussation,fiber_tract;midbrain;monoaminergic,35,37,3,35 36 37,2,2,-4.62,0.03,-6.26,2,0.557,0.463,0.71,0.2026,slab,1,0.03,-6.05,-4.49
VTM,ventral tuberomammillary nucleus,hypothalamus,33,34,2,33 34,3,2,-3.75,1.22,-7.3,2,0.127,0.091,1,0.0591,slab,3,1.55,-7.28,-3.34
VTT,ventral tenia tecta,cortex;olfactory,11,16,6,11 12 13 14 15 16,11,6,3.25,0.66,-7.24,6,4.664,1.288,0.96,1.4304,surface,2,0.75,-6.91,3.14
vVNLL,"ventral nucleus of the lateral lemniscus, ventral part",auditory;fiber_tract,41,43,3,41 42 43,5,3,-6.55,1.78,-7.05,3,1.069,0.49,0.98,0.3796,surface,2,-1.85,-7.11,-6.55
X,nucleus X,vestibular,48,52,5,48 49 50 51 52,7,4,-9.35,2.09,-5.7,3,0.385,0.169,0.86,0.1211,surface,2,2.1,-5.79,-9.36
Xi,xiphoid thalamic nucleus,thalamus,27,28,2,27 28,2,2,-1.48,0.03,-5.93,2,0.116,0.064,1,0.036,slab,1,0.03,-5.91,-1.42
xscp,decussation of the superior cerebellar peduncle,cerebellum;fiber_tract,39,41,3,39 40 41,3,3,-5.85,0.03,-5.69,3,1.07,0.57,0.93,0.3929,surface,1,-0.03,-5.66,-5.69
Y,nucleus Y,vestibular,48,48,1,48,0,0,,,,0,,,,,,,,,
