abbreviation,structure,plates_index_of_structures,plates_index_of_abbreviations,first_plate,last_plate,n_plates,plates,note
fmj,forceps major of the corpus callosum,34–39,34–39,34,39,6,34 35 36 37 38 39,
fr,fasciculus retroflexus,27–36,27–36,27,36,10,27 28 29 30 31 32 33 34 35 36,
Fr3,"frontal cortex, area 3",11–17,11–17,11,17,7,11 12 13 14 15 16 17,
FrA,frontal association cortex,7–9,7–9,7,9,3,7 8 9,
Fu,"bed nucleus of stria terminalis, fusiform part",23,23,23,23,1,23,
FVe,F cell group of the vestibular complex,52,52,52,52,1,52,
g7,genu of the facial nerve,46–48,46–48,46,48,3,46 47 48,
Gca,"globular cell area, ventral cochlear nucleus",46–49,46–49,46,49,4,46 47 48 49,
gcc,genu of the corpus callosum,19,19,19,19,1,19,
Ge5,gelatinous layer of the caudal spinal trigeminal nucleus,57–62,57–62,57,62,6,57 58 59 60 61 62,
GI,granular insular cortex,13–27,13–27,13,27,15,13 14 15 16 17 18 19 20 21 22 23 24 25 26 27,
Gi,gigantocellular reticular nucleus,47–54,47–54,47,54,8,47 48 49 50 51 52 53 54,
GiA,"gigantocellular reticular nucleus, alpha part",48–51,48–51,48,51,4,48 49 50 51,
GiV,"gigantocellular reticular nucleus, ventral part",51–52,51–52,51,52,2,51 52,
Gl,glomerular layer of the olfactory bulb,1–11,1–11,1,11,11,1 2 3 4 5 6 7 8 9 10 11,
GlA,glomerular layer of the accessory olfactory bulb,5–10,5–10,5,10,6,5 6 7 8 9 10,
GP,globus pallidus,24–29,24–29,24,29,6,24 25 26 27 28 29,
Gr,gracile nucleus,54–62,54–62,54,62,9,54 55 56 57 58 59 60 61 62,
gr,gracile fasciculus,54–62,54–62,54,62,9,54 55 56 57 58 59 60 61 62,
GrA,granule cell layer of the accessory olfactory bulb,3–10,3–10,3,10,8,3 4 5 6 7 8 9 10,
GrC,granule cell layer of cochlear nuclei,43–50,43–50,43,50,8,43 44 45 46 47 48 49 50,
GrDG,granular layer of the dentate gyrus,27–36,27–36,27,36,10,27 28 29 30 31 32 33 34 35 36,
GrO,granular cell layer of the olfactory bulb,1–10,1–10,1,10,10,1 2 3 4 5 6 7 8 9 10,
hbc,habenular commissure,31–32,31–32,31,32,2,31 32,
HDB,nucleus of the horizontal limb of the diagonal band,20–25,20–25,20,25,6,20 21 22 23 24 25,
hif,hippocampal fissure,30–34,30–34,30,34,5,30 31 32 33 34,
I,intercalated nuclei of the amygdala,23–29,23–29,23,29,7,23 24 25 26 27 28 29,
IAD,interanterodorsal thalamic nucleus,26–27,26–27,26,27,2,26 27,
IAM,interanteromedial thalamic nucleus,27,27,27,27,1,27,
IB,interstitial nucleus of the medulla,57–62,57–62,57,62,6,57 58 59 60 61 62,
ic,internal capsule,23–30,23–30,23,30,8,23 24 25 26 27 28 29 30,
icf,intercrural fissure,49–54,49–54,49,54,6,49 50 51 52 53 54,
ICj,islands of Calleja,16–22,16–22,16,22,7,16 17 18 19 20 21 22,
ICjM,"islands of Calleja, major island",20–21,20–21,20,21,2,20 21,
icp,inferior cerebellar peduncle (restiform body),46–53,46–53,46,53,8,46 47 48 49 50 51 52 53,
IEn,intermediate endopiriform nucleus,12–24,12–24,12,24,13,12 13 14 15 16 17 18 19 20 21 22 23 24,
IF,interfascicular nucleus,35–38,35–38,35,38,4,35 36 37 38,
IG,indusium griseum,18–33,18–33,18,33,16,18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33,
IL,infralimbic cortex,14–18,14–18,14,18,5,14 15 16 17 18,
IM,"intercalated amygdaloid nucleus, main part",26,26,26,26,1,26,
IMD,intermediodorsal thalamic nucleus,28–30,28–30,28,30,3,28 29 30,
IMG,amygdaloid intramedullary gray,27–28,27–28,27,28,2,27 28,
iml,internal medullary lamina,26,26,26,26,1,26,
imvc,intermedioventral thalamic commissure,29–30,29–30,29,30,2,29 30,
InC,interstitial nucleus of Cajal,33–38,33–38,33,38,6,33 34 35 36 37 38,
InG,intermediate gray layer of the superior colliculus,33–41,33–41,33,41,9,33 34 35 36 37 38 39 40 41,
INLL,intermediate nucleus of the lateral lemniscus,40–42,40–42,40,42,3,40 41 42,
IntA,"interposed cerebellar nucleus, anterior part",47–49,47–49,47,49,3,47 48 49,
